station_a,station_b,r_eff_before,r_eff_after,r_eff_delta,r_eff_pct_change,sp_m_before,sp_m_after,sp_m_delta,sp_m_pct_change
metro_rail_gtfs::81403,metro_rail_gtfs::80120,4304.765214789665,4304.765214789262,-4.029061528854072e-10,-9.359538390181254e-12,4299.76521478954,4299.76521478954,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80120,6062.630965425218,6062.630965424656,-5.620677256956697e-10,-9.271019940040958e-12,6055.63096542504,6055.63096542504,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80112,17734.173505240324,17734.17350523869,-1.6334524843841791e-09,-9.210761831677723e-12,17972.741809166644,17972.741809166644,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80112,17913.242821144013,17913.242821142434,-1.5788828022778034e-09,-8.814053480111144e-12,18665.146210884443,18665.146210884443,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80120,19094.635493002203,19094.635493000547,-1.6552803572267294e-09,-8.668824067541672e-12,19080.63549300166,19080.63549300166,0.0,0.0
metro_rail_gtfs::80107,metro_rail_gtfs::80112,14254.384794504542,14254.384794503316,-1.2259988579899073e-09,-8.600854233025642e-12,14249.384794504887,14249.384794504887,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80120,19815.303483486725,19815.303483485088,-1.6370904631912708e-09,-8.261748120868075e-12,19800.303483486183,19800.303483486183,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80120,21348.671574650543,21348.671574648855,-1.6880221664905548e-09,-7.906918988322045e-12,21332.671574649983,21332.671574649983,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80119,20552.357107351203,20552.357107349595,-1.6079866327345371e-09,-7.823855066041986e-12,20537.357107350665,20537.357107350665,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80119,21273.02509783573,21273.025097834136,-1.5934347175061703e-09,-7.490400214252005e-12,21257.025097835187,21257.025097835187,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80409,13906.022951237675,13906.022951236642,-1.0331859812140465e-09,-7.429773306408141e-12,13898.022951237328,13898.022951237328,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80119,22806.393188999544,22806.3931889979,-1.6443664208054543e-09,-7.2101116874482346e-12,22789.393188998987,22789.393188998987,0.0,0.0
metro_rail_gtfs::81401,metro_rail_gtfs::80120,2956.105841832768,2956.1058418325565,-2.1145751816220582e-10,-7.1532458401795054e-12,2953.1058418326993,2953.1058418326993,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::81403,15510.538268697013,15510.538268695916,-1.0968506103381515e-09,-7.0716476200686625e-12,15500.538268696642,15500.538268696642,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::81403,17043.906359860837,17043.90635985969,-1.1459633242338896e-09,-6.7235955187637294e-12,17032.906359860448,17032.906359860448,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80409,16160.059032886016,16160.059032884947,-1.0695657692849636e-09,-6.6185758796324795e-12,16150.059032885654,16150.059032885654,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80119,7520.352579774188,7520.352579773734,-4.538378561846912e-10,-6.0347949297653604e-12,7512.352579774043,7512.352579774043,0.0,0.0
metro_rail_gtfs::80409,metro_rail_gtfs::80119,6646.334156113449,6646.334156113088,-3.610693966038525e-10,-5.43260973828306e-12,6639.334156113335,6639.334156113335,0.0,0.0
metro_rail_gtfs::81403,metro_rail_gtfs::80119,5762.486829138633,5762.486829138345,-2.8830982046201825e-10,-5.003218731956986e-12,5756.486829138543,5756.486829138543,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80417,50120.15813522303,50120.15813522093,-2.0954757928848267e-09,-4.180904192742731e-12,50712.980003154444,50712.980003154444,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80417,50135.27629144136,50135.27629143934,-2.0227162167429924e-09,-4.034516943687996e-12,50865.179681182824,50865.179681182824,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80401,23683.136039491837,23683.13603949091,-9.276845958083868e-10,-3.917068222136902e-12,23666.1360394914,23666.1360394914,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80418,50840.8261257075,50840.82612570553,-1.9717845134437084e-09,-3.8783486888437525e-12,51432.647993638966,51432.647993638966,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80401,25216.504130655663,25216.50413065469,-9.74978320300579e-10,-3.866429364073903e-12,25198.504130655205,25198.504130655205,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80418,50676.87496602212,50676.874966020216,-1.9063008949160576e-09,-3.761678075442095e-12,50892.44326994955,50892.44326994955,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80418,50855.944281925826,50855.94428192395,-1.877197064459324e-09,-3.691204815808481e-12,51584.84767166735,51584.84767166735,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80112,32222.03347029866,32222.033470297487,-1.1714291758835316e-09,-3.6354911522369352e-12,32200.033470298386,32200.033470298386,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80418,50007.08297553208,50007.0829755303,-1.7826096154749393e-09,-3.5647142552728997e-12,49977.08297553365,49977.08297553365,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80119,4973.316254404441,4973.316254404264,-1.7644197214394808e-10,-3.547773017404403e-12,4968.31625440438,4968.31625440438,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80419,52374.19421687124,52374.19421686941,-1.8335413187742233e-09,-3.500848740854874e-12,52965.016084802766,52965.016084802766,0.0,0.0
metro_rail_gtfs::80401,metro_rail_gtfs::80119,13935.084599933445,13935.084599932963,-4.82032191939652e-10,-3.4591264120632195e-12,13922.084599933301,13922.084599933301,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80112,34476.069551946974,34476.06955194579,-1.1859810911118984e-09,-3.4400124681408825e-12,34452.06955194671,34452.06955194671,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80120,1999.336816577018,1999.3368165769525,-6.548361852765083e-11,-3.275266977765289e-12,1997.3368165769916,1997.3368165769916,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80105,49286.41498504812,49286.41498504661,-1.5061232261359692e-09,-3.0558587525444435e-12,49257.41498504913,49257.41498504913,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80102,50044.03339525004,50044.03339524851,-1.5279510989785194e-09,-3.053213330969334e-12,50394.07122165804,50394.07122165804,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80102,52298.069476898316,52298.069476896795,-1.520675141364336e-09,-2.90770798343917e-12,52646.107303306366,52646.107303306366,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80107,2809.996720245799,2809.996720245719,-8.003553375601768e-11,-2.848242959835794e-12,2807.996720245854,2807.996720245854,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80107,46476.41826480246,46476.41826480131,-1.1496013030409813e-09,-2.473515270671359e-12,46449.41826480327,46449.41826480327,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80107,47197.08625528698,47197.08625528585,-1.127773430198431e-09,-2.3894979959109206e-12,47169.086255287795,47169.086255287795,0.0,0.0
metro_rail_gtfs::80137,metro_rail_gtfs::80139,2606.9889198905876,2606.9889198905257,-6.184563972055912e-11,-2.372301594713134e-12,2604.9889198905703,2604.9889198905703,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80107,48730.454346450744,48730.4543464496,-1.1423253454267979e-09,-2.3441713416119597e-12,48701.454346451595,48701.454346451595,0.0,0.0
metro_rail_gtfs::81401,metro_rail_gtfs::80119,4413.827456181737,4413.827456181647,-9.00399754755199e-11,-2.039952317334367e-12,4409.8274561817025,4409.8274561817025,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80107,3643.739870421108,3643.7398704210354,-7.275957614183426e-11,-1.996837829518972e-12,4263.561738351169,4263.561738351169,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80102,757.6184102019542,757.6184102019397,-1.4551915228366852e-11,-1.9207446694026122e-12,1136.656236608916,1136.656236608916,0.0,0.0
metro_rail_gtfs::80102,metro_rail_gtfs::80107,3567.6151304477025,3567.615130447637,-6.548361852765083e-11,-1.8355011999131544e-12,3944.65295685477,3944.65295685477,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80107,3658.8580266395,3658.8580266394347,-6.548361852765083e-11,-1.7897283264580413e-12,4415.761416379554,4415.761416379554,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80423,64460.30960964185,64460.30960964096,-8.949427865445614e-10,-1.3883625318651859e-12,65047.131477573625,65047.131477573625,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80423,64296.35844995647,64296.358449955645,-8.221832104027271e-10,-1.2787399321264108e-12,64506.92675388421,64506.92675388421,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80423,64475.42776586018,64475.42776585937,-8.076312951743603e-10,-1.252618746644442e-12,65199.331155602005,65199.331155602005,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80102,617.5527357032333,617.5527357032261,-7.275957614183426e-12,-1.1781921111397856e-12,808.391615277092,808.391615277092,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80423,63626.566459466434,63626.566459465736,-6.984919309616089e-10,-1.0977991895988698e-12,63591.56645946831,63591.56645946831,0.0,0.0
metro_rail_gtfs::80138,metro_rail_gtfs::80139,1437.6961156888574,1437.6961156888428,-1.4551915228366852e-11,-1.0121690578119458e-12,1436.6961156888499,1436.6961156888499,0.0,0.0
metro_rail_gtfs::80401,metro_rail_gtfs::80102,43426.7608878321,43426.760887831726,-3.710738383233547e-10,-8.544819616683113e-13,43778.79871424068,43778.79871424068,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80401,9930.463521430342,9930.46352143026,-8.185452315956354e-11,-8.24276963335278e-13,9921.463521430258,9921.463521430258,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80154,36924.20244796109,36924.20244796083,-2.6193447411060333e-10,-7.093842432473908e-13,37147.770751888405,37147.770751888405,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80102,37012.02886767298,37012.028867672794,-1.8917489796876907e-10,-5.111173414597601e-13,37369.06669408142,37369.06669408142,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80105,36254.41045747107,36254.410457470905,-1.673470251262188e-10,-4.615908051312224e-13,36232.410457472506,36232.410457472506,0.0,0.0
metro_rail_gtfs::80107,metro_rail_gtfs::80423,60816.56973922075,60816.56973922053,-2.1827872842550278e-10,-3.5891325236111485e-13,60783.56973922245,60783.56973922245,0.0,0.0
metro_rail_gtfs::80409,metro_rail_gtfs::80102,36138.01044401227,36138.01044401215,-1.1641532182693481e-10,-3.221409269536136e-13,36496.04827042071,36496.04827042071,0.0,0.0
metro_rail_gtfs::80401,metro_rail_gtfs::80107,39859.145757384555,39859.145757384504,-5.093170329928398e-11,-1.2777921435972584e-13,39834.14575738591,39834.14575738591,0.0,0.0
